company_short,year,bertopic_topic,topic_chunk_count,total_valid_chunks,topic_proportion
BOOHOO,2021,5,1,54,0.018518518518518517
BOOHOO,2021,7,1,54,0.018518518518518517
BOOHOO,2021,8,3,54,0.05555555555555555
BOOHOO,2021,12,4,54,0.07407407407407407
BOOHOO,2021,15,1,54,0.018518518518518517
BOOHOO,2021,16,1,54,0.018518518518518517
BOOHOO,2021,17,1,54,0.018518518518518517
BOOHOO,2021,20,2,54,0.037037037037037035
BOOHOO,2021,21,1,54,0.018518518518518517
BOOHOO,2021,23,1,54,0.018518518518518517
BOOHOO,2021,25,3,54,0.05555555555555555
BOOHOO,2021,28,1,54,0.018518518518518517
BOOHOO,2021,30,1,54,0.018518518518518517
BOOHOO,2021,33,1,54,0.018518518518518517
BOOHOO,2021,34,3,54,0.05555555555555555
BOOHOO,2021,35,3,54,0.05555555555555555
BOOHOO,2021,39,1,54,0.018518518518518517
BOOHOO,2021,42,5,54,0.09259259259259259
BOOHOO,2021,44,3,54,0.05555555555555555
BOOHOO,2022,0,14,71,0.19718309859154928
BOOHOO,2022,3,3,71,0.04225352112676056
BOOHOO,2022,4,1,71,0.014084507042253521
BOOHOO,2022,5,1,71,0.014084507042253521
BOOHOO,2022,7,5,71,0.07042253521126761
BOOHOO,2022,8,2,71,0.028169014084507043
BOOHOO,2022,9,1,71,0.014084507042253521
BOOHOO,2022,10,2,71,0.028169014084507043
BOOHOO,2022,11,1,71,0.014084507042253521
BOOHOO,2022,12,4,71,0.056338028169014086
BOOHOO,2022,16,2,71,0.028169014084507043
BOOHOO,2022,17,1,71,0.014084507042253521
BOOHOO,2022,18,2,71,0.028169014084507043
BOOHOO,2022,20,3,71,0.04225352112676056
BOOHOO,2022,21,1,71,0.014084507042253521
BOOHOO,2022,23,1,71,0.014084507042253521
BOOHOO,2022,25,3,71,0.04225352112676056
BOOHOO,2022,28,1,71,0.014084507042253521
BOOHOO,2022,34,2,71,0.028169014084507043
BOOHOO,2022,35,3,71,0.04225352112676056
BOOHOO,2022,38,1,71,0.014084507042253521
BOOHOO,2022,39,1,71,0.014084507042253521
BOOHOO,2022,40,1,71,0.014084507042253521
BOOHOO,2022,42,5,71,0.07042253521126761
BOOHOO,2022,44,1,71,0.014084507042253521
BOOHOO,2022,45,4,71,0.056338028169014086
BOOHOO,2022,50,1,71,0.014084507042253521
BOOHOO,2022,56,1,71,0.014084507042253521
BOOHOO,2022,57,1,71,0.014084507042253521
BOOHOO,2022,58,2,71,0.028169014084507043
BOOHOO,2023,0,17,73,0.2328767123287671
BOOHOO,2023,1,1,73,0.0136986301369863
BOOHOO,2023,3,3,73,0.0410958904109589
BOOHOO,2023,5,1,73,0.0136986301369863
BOOHOO,2023,7,1,73,0.0136986301369863
BOOHOO,2023,8,2,73,0.0273972602739726
BOOHOO,2023,9,1,73,0.0136986301369863
BOOHOO,2023,10,3,73,0.0410958904109589
BOOHOO,2023,11,1,73,0.0136986301369863
BOOHOO,2023,12,5,73,0.0684931506849315
BOOHOO,2023,15,1,73,0.0136986301369863
BOOHOO,2023,17,1,73,0.0136986301369863
BOOHOO,2023,18,1,73,0.0136986301369863
BOOHOO,2023,20,2,73,0.0273972602739726
BOOHOO,2023,21,4,73,0.0547945205479452
BOOHOO,2023,23,2,73,0.0273972602739726
BOOHOO,2023,25,3,73,0.0410958904109589
BOOHOO,2023,26,1,73,0.0136986301369863
BOOHOO,2023,28,1,73,0.0136986301369863
BOOHOO,2023,30,1,73,0.0136986301369863
BOOHOO,2023,33,1,73,0.0136986301369863
BOOHOO,2023,34,1,73,0.0136986301369863
BOOHOO,2023,35,3,73,0.0410958904109589
BOOHOO,2023,38,1,73,0.0136986301369863
BOOHOO,2023,39,1,73,0.0136986301369863
BOOHOO,2023,40,1,73,0.0136986301369863
BOOHOO,2023,42,5,73,0.0684931506849315
BOOHOO,2023,43,2,73,0.0273972602739726
BOOHOO,2023,44,1,73,0.0136986301369863
BOOHOO,2023,45,1,73,0.0136986301369863
BOOHOO,2023,49,1,73,0.0136986301369863
BOOHOO,2023,52,1,73,0.0136986301369863
BOOHOO,2023,55,1,73,0.0136986301369863
BOOHOO,2023,58,1,73,0.0136986301369863
BOOHOO,2024,0,17,75,0.22666666666666666
BOOHOO,2024,1,1,75,0.013333333333333334
BOOHOO,2024,2,1,75,0.013333333333333334
BOOHOO,2024,3,4,75,0.05333333333333334
BOOHOO,2024,7,1,75,0.013333333333333334
BOOHOO,2024,8,3,75,0.04
BOOHOO,2024,10,5,75,0.06666666666666667
BOOHOO,2024,12,3,75,0.04
BOOHOO,2024,14,1,75,0.013333333333333334
BOOHOO,2024,16,2,75,0.02666666666666667
BOOHOO,2024,18,1,75,0.013333333333333334
BOOHOO,2024,20,5,75,0.06666666666666667
BOOHOO,2024,21,3,75,0.04
BOOHOO,2024,23,1,75,0.013333333333333334
BOOHOO,2024,25,3,75,0.04
BOOHOO,2024,28,3,75,0.04
BOOHOO,2024,29,1,75,0.013333333333333334
BOOHOO,2024,30,1,75,0.013333333333333334
BOOHOO,2024,34,1,75,0.013333333333333334
BOOHOO,2024,35,2,75,0.02666666666666667
BOOHOO,2024,39,1,75,0.013333333333333334
BOOHOO,2024,40,1,75,0.013333333333333334
BOOHOO,2024,42,5,75,0.06666666666666667
BOOHOO,2024,43,2,75,0.02666666666666667
BOOHOO,2024,45,1,75,0.013333333333333334
BOOHOO,2024,49,1,75,0.013333333333333334
BOOHOO,2024,50,2,75,0.02666666666666667
BOOHOO,2024,54,1,75,0.013333333333333334
BOOHOO,2024,58,1,75,0.013333333333333334
BOOHOO,2024,59,1,75,0.013333333333333334
JD,2019,0,10,91,0.10989010989010989
JD,2019,1,8,91,0.08791208791208792
JD,2019,2,1,91,0.01098901098901099
JD,2019,3,2,91,0.02197802197802198
JD,2019,4,5,91,0.054945054945054944
JD,2019,6,11,91,0.12087912087912088
JD,2019,7,1,91,0.01098901098901099
JD,2019,8,2,91,0.02197802197802198
JD,2019,9,1,91,0.01098901098901099
JD,2019,11,4,91,0.04395604395604396
JD,2019,12,1,91,0.01098901098901099
JD,2019,14,3,91,0.03296703296703297
JD,2019,15,1,91,0.01098901098901099
JD,2019,16,3,91,0.03296703296703297
JD,2019,17,1,91,0.01098901098901099
JD,2019,18,2,91,0.02197802197802198
JD,2019,20,2,91,0.02197802197802198
JD,2019,21,1,91,0.01098901098901099
JD,2019,23,1,91,0.01098901098901099
JD,2019,26,1,91,0.01098901098901099
JD,2019,28,2,91,0.02197802197802198
JD,2019,29,1,91,0.01098901098901099
JD,2019,30,1,91,0.01098901098901099
JD,2019,33,2,91,0.02197802197802198
JD,2019,36,1,91,0.01098901098901099
JD,2019,37,6,91,0.06593406593406594
JD,2019,39,1,91,0.01098901098901099
JD,2019,43,2,91,0.02197802197802198
JD,2019,46,1,91,0.01098901098901099
JD,2019,48,3,91,0.03296703296703297
JD,2019,50,1,91,0.01098901098901099
JD,2019,52,1,91,0.01098901098901099
JD,2019,53,2,91,0.02197802197802198
JD,2019,54,2,91,0.02197802197802198
JD,2019,56,1,91,0.01098901098901099
JD,2019,57,1,91,0.01098901098901099
JD,2019,58,2,91,0.02197802197802198
JD,2020,0,14,113,0.12389380530973451
JD,2020,1,8,113,0.07079646017699115
JD,2020,2,3,113,0.02654867256637168
JD,2020,3,3,113,0.02654867256637168
JD,2020,4,11,113,0.09734513274336283
JD,2020,5,1,113,0.008849557522123894
JD,2020,6,9,113,0.07964601769911504
JD,2020,8,2,113,0.017699115044247787
JD,2020,9,2,113,0.017699115044247787
JD,2020,11,5,113,0.04424778761061947
JD,2020,12,3,113,0.02654867256637168
JD,2020,14,3,113,0.02654867256637168
JD,2020,15,2,113,0.017699115044247787
JD,2020,16,4,113,0.035398230088495575
JD,2020,20,6,113,0.05309734513274336
JD,2020,21,1,113,0.008849557522123894
JD,2020,26,2,113,0.017699115044247787
JD,2020,28,2,113,0.017699115044247787
JD,2020,30,2,113,0.017699115044247787
JD,2020,33,2,113,0.017699115044247787
JD,2020,36,1,113,0.008849557522123894
JD,2020,37,6,113,0.05309734513274336
JD,2020,39,1,113,0.008849557522123894
JD,2020,43,2,113,0.017699115044247787
JD,2020,44,2,113,0.017699115044247787
JD,2020,45,1,113,0.008849557522123894
JD,2020,46,2,113,0.017699115044247787
JD,2020,48,4,113,0.035398230088495575
JD,2020,50,1,113,0.008849557522123894
JD,2020,51,1,113,0.008849557522123894
JD,2020,54,2,113,0.017699115044247787
JD,2020,55,1,113,0.008849557522123894
JD,2020,56,1,113,0.008849557522123894
JD,2020,57,1,113,0.008849557522123894
JD,2020,58,1,113,0.008849557522123894
JD,2020,59,1,113,0.008849557522123894
JD,2021,0,16,138,0.11594202898550725
JD,2021,1,12,138,0.08695652173913043
JD,2021,2,5,138,0.036231884057971016
JD,2021,3,2,138,0.014492753623188406
JD,2021,4,10,138,0.07246376811594203
JD,2021,6,13,138,0.09420289855072464
JD,2021,7,1,138,0.007246376811594203
JD,2021,8,3,138,0.021739130434782608
JD,2021,9,3,138,0.021739130434782608
JD,2021,10,2,138,0.014492753623188406
JD,2021,11,4,138,0.028985507246376812
JD,2021,12,4,138,0.028985507246376812
JD,2021,14,6,138,0.043478260869565216
JD,2021,16,7,138,0.050724637681159424
